English (en),Hebrew (iw),Positive,Negative,Anger,Anticipation,Disgust,Fear,Joy,Sadness,Surprise,Trust
accelerate,להאיץ,0,0,0,1,0,0,0,0,0,0
acceleration,תְאוּצָה,0,0,0,0,0,0,0,0,0,0
accent,מִבטָא,0,0,0,0,0,0,0,0,0,0
accentuate,לְהַדגִישׁ,0,0,0,0,0,0,0,0,0,0
accept,לְקַבֵּל,0,0,0,0,0,0,0,0,0,0
acceptable,קָבִיל,1,0,0,0,0,0,0,0,0,0
acceptance,קַבָּלָה,1,0,0,0,0,0,0,0,0,0
access,גִישָׁה,0,0,0,0,0,0,0,0,0,0
accessible,נגיש,1,0,0,0,0,0,0,0,0,0
accession,הִצטָרְפוּת,0,0,0,0,0,0,0,0,0,0
accessory,אבזר,0,0,0,0,0,0,0,0,0,0
accident,תְאוּנָה,0,1,0,0,0,1,0,1,1,0
accidental,מִקרִי,0,1,0,0,0,1,0,0,1,0
accidentally,בטעות,0,0,0,0,0,0,0,0,1,0
accolade,לְהַעֲנִיק תוֹאַר אַבִּיר,1,0,0,1,0,0,1,0,1,1
accommodate,להתאים,0,0,0,0,0,0,0,0,0,0
accommodation,דִיוּר,1,0,0,0,0,0,0,0,0,0
accompaniment,לִוּוּי,1,0,0,1,0,0,1,0,0,1
accompany,ללוות,0,0,0,0,0,0,0,0,0,0
accompanying,מתלווה,0,0,0,0,0,0,0,0,0,0
accomplice,שׁוּתָף,0,0,0,0,0,0,0,0,0,0
accomplish,לְהַשִׂיג,1,0,0,0,0,0,1,0,0,0
accomplished,השיג,1,0,0,0,0,0,1,0,0,0
accomplishment,הישג,1,0,0,0,0,0,0,0,0,0
accord,הֶסכֵּם,1,0,0,0,0,0,0,0,0,1
accordance,בהתאם,0,0,0,0,0,0,0,0,0,0
accordion,אַקוֹרדִיוֹן,0,0,0,0,0,0,0,0,0,0
account,חֶשְׁבּוֹן,0,0,0,0,0,0,0,0,0,1
accountability,דין וחשבון,1,0,0,0,0,0,0,0,0,1
accountable,אַחֲרַאִי,1,0,0,0,0,0,0,0,0,1
accountant,רואת חשבון,0,0,0,0,0,0,0,0,0,1
accounting,חשבונאות,0,0,0,0,0,0,0,0,0,0
accounts,חשבונות,0,0,0,0,0,0,0,0,0,1
accredited,מוכר,1,0,0,0,0,0,0,0,0,1
accretion,הִצטַבְּרוּת,0,0,0,0,0,0,0,0,0,0
accrue,לצבור,0,0,0,0,0,0,0,0,0,0
accueil,NO TRANSLATION,1,0,0,0,0,0,0,0,0,0
accumulate,לִצְבּוֹר,0,0,0,0,0,0,0,0,0,0
accumulation,הצטברות,0,0,0,0,0,0,0,0,0,0
accuracy,דיוק,0,0,0,0,0,0,0,0,0,0
accurate,מְדוּיָק,1,0,0,0,0,0,0,0,0,1
accursed,אָרוּר,0,1,1,0,0,1,0,1,0,0
accusation,הַאֲשָׁמָה,0,1,1,0,1,0,0,0,0,0
accusative,אשם,0,1,0,0,0,0,0,0,0,0
accused,מואשם,0,1,1,0,0,1,0,0,0,0
accuser,מַאֲשִׁים,0,1,1,0,0,1,0,0,0,0
accusing,מאשים,0,1,1,0,0,1,0,0,0,0
accustomed,רָגִיל,0,0,0,0,0,0,0,0,0,0
ace,אֵס,1,0,0,0,0,0,0,0,0,0
acetic,אצטית,0,0,0,0,0,0,0,0,0,0
ache,כְּאֵב,0,1,0,0,0,0,0,1,0,0
achieve,לְהַשִׂיג,1,0,0,0,0,0,1,0,0,1
achievement,הֶשֵׂג,1,0,0,1,0,0,1,0,0,1
aching,כּוֹאֵב,0,1,0,0,0,0,0,1,0,0
acid,חוּמצָה,0,1,0,0,0,0,0,0,0,0
acidity,חוּמצִיוּת,0,0,0,0,0,0,0,0,0,0
acknowledge,לְהוֹדוֹת,0,0,0,0,0,0,0,0,0,0
acknowledged,הודה,0,0,0,0,0,0,0,0,0,0
acknowledgment,הכרה,1,0,0,0,0,0,0,0,0,0
acme,שִׂיא,0,0,0,0,0,0,0,0,0,0
acoustic,אֲקוּסְטִי,0,0,0,0,0,0,0,0,0,0
acoustics,אֲקוּסְטִיקָה,0,0,0,0,0,0,0,0,0,0
acquaint,להכיר,0,0,0,0,0,0,0,0,0,0
acquaintance,הֶכֵּרוּת,0,0,0,0,0,0,0,0,0,0
acquainted,היכרות,0,0,0,0,0,0,0,0,0,0
acquiescence,הסכמה,0,0,0,0,0,0,0,0,0,0
acquire,לִרְכּוֹשׁ,1,0,0,0,0,0,0,0,0,0
acquiring,רכישה,1,0,0,1,0,0,0,0,0,0
acquisition,רְכִישָׁה,0,0,0,0,0,0,0,0,0,0
acquisitions,רכישות,0,0,0,0,0,0,0,0,0,0
acreage,אקרים,0,0,0,0,0,0,0,0,0,0
acres,דונם,0,0,0,0,0,0,0,0,0,0
acrobat,אַקרוֹבָּט,1,0,0,0,0,1,1,0,0,1
act,פעולה,0,0,0,0,0,0,0,0,0,0
acting,משחק,0,0,0,0,0,0,0,0,0,0
action,פעולה,1,0,0,0,0,0,0,0,0,0
actionable,ניתנת לפעולה,0,1,1,0,1,0,0,0,0,0
active,פָּעִיל,0,0,0,0,0,0,0,0,0,0
activity,פעילות,0,0,0,0,0,0,0,0,0,0
actor,שַׂחְקָן,0,0,0,0,0,0,0,0,0,0
actual,מַמָשִׁי,1,0,0,0,0,0,0,0,0,0
actuality,מְצִיאוּת,0,0,0,0,0,0,0,0,0,0
actuary,אַקטוּאָר,0,0,0,0,0,0,0,0,0,0
acuity,חדות,1,0,0,0,0,0,0,0,0,0
acumen,החריפה,1,0,0,0,0,0,0,0,0,0
acupuncture,אַקוּפּוּנקטוּרָה,0,0,0,0,0,0,0,0,0,0
acutely,למעשה,0,0,0,0,0,0,0,0,0,0
adage,פִּתגָם,0,0,0,0,0,0,0,0,0,0
adamant,נאמנה,0,0,0,0,0,0,0,0,0,0
adapt,לְהִסְתָגֵל,1,0,0,0,0,0,0,0,0,0
adaptable,סָגִיל,1,0,0,0,0,0,0,0,0,0
add,לְהוֹסִיף,0,0,0,0,0,0,0,0,0,0
added,הוסיף,0,0,0,0,0,0,0,0,0,0
addendum,תוֹסֶפֶת,0,0,0,0,0,0,0,0,0,0
adder,פֶּתֶן,0,1,1,0,1,1,0,1,0,0
addiction,הִתמַכְּרוּת,0,1,0,0,0,0,0,0,0,0
addition,בנוסף,0,0,0,0,0,0,0,0,0,0
additional,נוֹסָף,0,0,0,0,0,0,0,0,0,0
additive,תוסף,0,0,0,0,0,0,0,0,0,0
address,כתובת,0,0,0,0,0,0,0,0,0,0
addressee,נִמעָן,0,0,0,0,0,0,0,0,0,0
addresses,כתובות,1,0,0,1,0,0,0,0,0,0
adept,מְיוּמָן,1,0,0,0,0,0,0,0,0,0
adequacy,NO TRANSLATION,1,0,0,0,0,0,0,0,0,0
adequate,נאות,0,0,0,0,0,0,0,0,0,0
adhere,לִדבּוֹק,0,0,0,0,0,0,0,0,0,0
adherence,דְבֵקוּת,0,0,0,0,0,0,0,0,0,0
adherent,חָסִיד,0,0,0,0,0,0,0,0,0,0
adhering,דבקות,0,0,0,0,0,0,0,0,0,1
adhesion,הַדבָּקָה,0,0,0,0,0,0,0,0,0,0
adhesive,דבק,0,0,0,0,0,0,0,0,0,0
adieu,שָׁלוֹם,0,0,0,0,0,0,0,0,0,0
adipose,אדיפוז,0,1,0,0,0,0,0,0,0,0
adjacency,סדירות,0,0,0,0,0,0,0,0,0,0
adjacent,סמוך,0,0,0,0,0,0,0,0,0,0
adjective,תוֹאַר,0,0,0,0,0,0,0,0,0,0
adjoining,סמוכים,0,0,0,0,0,0,0,0,0,0
adjourn,לִדחוֹת,0,0,0,0,0,0,0,0,0,0
adjournment,דְחִיָה,0,0,0,0,0,0,0,0,0,0
adjudicate,לִפְסוֹק,0,1,0,0,0,1,0,0,0,0
adjudication,שְׁפִיטָה,0,0,0,0,0,0,0,0,0,0
adjunct,נספח,1,0,0,0,0,0,0,0,0,0
adjust,לְהַתְאִים,0,0,0,0,0,0,0,0,0,0
adjustment,התאמה,0,0,0,0,0,0,0,0,0,0
adjuvant,אדג'ובנט,0,0,0,0,0,0,0,0,0,0
administer,לְנַהֵל,0,0,0,0,0,0,0,0,0,0
administration,מִנהָל,0,0,0,0,0,0,0,0,0,0
administrative,מנהלי,0,0,0,0,0,0,0,0,0,1
admirable,ראוי להערצה,1,0,0,0,0,0,1,0,0,1
admiral,אַדמִירָל,1,0,0,0,0,0,0,0,0,1
admiralty,אדמירליות,0,0,0,0,0,0,0,0,0,0
admiration,הערצה,1,0,0,0,0,0,1,0,0,1
admire,לְהִתְפַּעֵל,1,0,0,0,0,0,0,0,0,1
admirer,מַעֲרִיץ,1,0,0,0,0,0,0,0,0,0
admissibility,קבילות,0,0,0,0,0,0,0,0,0,0
admissible,קָבִיל,1,0,0,0,0,0,0,0,0,1
admission,הוֹדָאָה,0,0,0,0,0,0,0,0,0,0
admit,לְהוֹדוֹת,0,0,0,0,0,0,0,0,0,0
admittance,קבלה,0,0,0,0,0,0,0,0,0,0
admitted,הודה,0,0,0,0,0,0,0,0,0,0
admitting,מודה,0,0,0,0,0,0,0,0,0,0
admixture,תַעֲרוֹבֶת,0,0,0,0,0,0,0,0,0,0
admonition,תוֹכֵחָה,0,1,0,0,0,1,0,0,0,0
ado,מְהוּמָה,0,0,0,0,0,0,0,0,0,0
adobe,אדוב,0,0,0,0,0,0,0,0,0,0
adolescence,גיל ההתבגרות,0,0,0,0,0,0,0,0,0,0
adolescent,מִתבַּגֵר,0,0,0,0,0,0,0,0,0,0
adopt,לְאַמֵץ,0,0,0,0,0,0,0,0,0,0
adoption,אימוץ,0,0,0,0,0,0,0,0,0,0
adorable,מקסים,1,0,0,0,0,0,1,0,0,0
adoration,הַעֲרָצָה,1,0,0,0,0,0,1,0,0,1
adore,לְהַעֲרִיץ,1,0,0,1,0,0,1,0,0,1
adorn,לְקַשֵׁט,0,0,0,0,0,0,0,0,0,0
adornment,תַכשִׁיט,0,0,0,0,0,0,0,0,0,0
adrift,נִסחָף,0,1,0,1,0,1,0,1,0,0
adult,מְבוּגָר,0,0,0,0,0,0,0,0,0,0
adulterated,מָהוּל,0,1,0,0,0,0,0,0,0,0
adultery,ניאוף,0,1,0,0,1,0,0,1,0,0
advance,לְקַדֵם,1,0,0,1,0,1,1,0,1,0
advanced,מִתקַדֵם,1,0,0,0,0,0,0,0,0,0
advancement,הִתקַדְמוּת,1,0,0,0,0,0,0,0,0,0
advancing,מתקדם,0,0,0,0,0,0,0,0,0,0
advantage,יתרון,1,0,0,0,0,0,0,0,0,0
advantageous,מוֹעִיל,1,0,0,0,0,0,0,0,0,0
advent,הִתגַלוּת,1,0,0,1,0,0,1,0,0,1
adventure,הַרפַּתקָה,1,0,0,1,0,0,0,0,0,0
adventurer,הַרפַּתקָן,0,0,0,0,0,0,0,0,0,0
adventurous,הרפתקני,1,0,0,0,0,0,0,0,0,0
adversary,יָרִיב,0,1,1,0,0,0,0,0,0,0
adverse,שְׁלִילִי,0,1,1,0,1,1,0,1,0,0
adversity,מְצוּקָה,0,1,1,0,0,1,0,1,0,0
advertise,לְפַרְסֵם,0,0,0,0,0,0,0,0,0,0
advertisement,פרסומת,0,0,0,0,0,0,0,0,0,0
advice,עֵצָה,0,0,0,0,0,0,0,0,0,1
advisable,רצוי,1,0,0,0,0,0,0,0,0,1
advise,לייעץ,1,0,0,0,0,0,0,0,0,1
advised,מומלץ,0,0,0,0,0,0,0,0,0,1
advisement,יעוץ,0,0,0,0,0,0,0,0,0,0
adviser,יוֹעֵץ,1,0,0,0,0,0,0,0,0,1
advocacy,פְּרַקְלִיטוּת,1,0,1,1,0,0,1,0,0,1
advocate,עוֹרֵך דִין,0,0,0,0,0,0,0,0,0,1
aegis,aegis,0,0,0,0,0,0,0,0,0,0
aeration,אִוְרוּר,0,0,0,0,0,0,0,0,0,0
aerial,אַנטֶנָה,0,0,0,0,0,0,0,0,0,0
aerodrome,שְׂדֵה תְעוּפָה,0,0,0,0,0,0,0,0,0,0
aerodynamics,אֲוִירוֹדִינָמִיקָה,0,0,0,0,0,0,0,0,0,0
aeronautics,תוֹרַת הַתְעוּפָה,0,0,0,0,0,0,0,0,0,0
aeroplane,מטוס,0,0,0,0,0,0,0,0,0,0
aesthetic,אֶסתֵטִי,1,0,0,0,0,0,0,0,0,0
aesthetics,אֶסתֵטִיקָה,1,0,0,0,0,0,1,0,0,0
aetiology,NO TRANSLATION,0,0,0,0,0,0,0,0,0,0
afar,מרחוק,0,0,0,0,0,0,0,0,0,0
affable,מַסבִּיר פָּנִים,1,0,0,0,0,0,0,0,0,0
affair,פָּרָשָׁה,0,0,0,0,0,0,0,0,0,0
affecting,משפיע,0,0,0,0,0,0,0,0,0,0
affection,אַהֲבָה,1,0,0,0,0,0,1,0,0,1
affections,רגשות,0,0,0,0,0,0,0,0,0,0
affiche,NO TRANSLATION,0,0,0,0,0,0,0,0,0,0
affidavit,תצהיר,0,0,0,0,0,0,0,0,0,0
affiliated,מְסוּנָף,1,0,0,0,0,0,0,0,0,0
affiliation,השתייכות,0,0,0,0,0,0,0,0,0,0
affinity,זִיקָה,0,0,0,0,0,0,0,0,0,0
affirm,לְאַשֵׁר,1,0,0,0,0,0,0,0,0,1
affirmation,חִיוּב,1,0,0,0,0,0,0,0,0,0
affirmative,חִיוּבִי,1,0,0,0,0,0,0,0,0,0
affirmatively,בחיוב,1,0,0,0,0,0,0,0,0,1
affix,לְהַדבִּיק,0,0,0,0,0,0,0,0,0,0
afflict,לְיַסֵר,0,1,0,0,0,1,0,1,0,0
afflicted,מְעוּנֶה,0,1,0,0,0,0,0,0,0,0
affliction,מֶמֶר,0,1,0,0,1,1,0,1,0,0
affluence,שֶׁפַע,1,0,0,0,0,0,1,0,0,0
affluent,אָמִיד,1,0,0,0,0,0,0,0,0,0
afford,לְהַרְשׁוֹת לְעַצמוֹ,1,0,0,0,0,0,0,0,0,0
affront,עֶלבּוֹן,0,1,1,0,1,1,0,1,1,0
afield,מרוחק,0,0,0,0,0,0,0,0,0,0
afore,שצוין,0,0,0,0,0,0,0,0,0,0
aforementioned,"הנ""ל",0,0,0,0,0,0,0,0,0,0
aforesaid,לְעֵיל,0,0,0,0,0,0,0,0,0,0
afraid,חוֹשֵׁשׁ,0,1,0,0,0,1,0,0,0,0
afresh,מִחָדָשׁ,0,0,0,0,0,0,0,0,0,0
aft,אָחוֹר,0,0,0,0,0,0,0,0,0,0
aftermath,אחרי,0,1,1,0,1,1,0,1,0,0
afternoon,אחרי הצהריים,0,0,0,0,0,0,0,0,0,0
aftertaste,טעם לוואי,0,1,0,0,0,0,0,0,0,0
afterthought,לאחר מחשבה,0,0,0,0,0,0,0,0,0,0
aga,NO TRANSLATION,1,0,0,0,0,1,0,0,0,1
agate,בַּרֶקֶת,0,0,0,0,0,0,0,0,0,0
age,גיל,0,0,0,0,0,0,0,0,0,0
aged,זָקֵן,0,0,0,0,0,0,0,0,0,0
agency,סוֹכְנוּת,0,0,0,0,0,0,0,0,0,0
agent,סוֹכֵן,0,0,0,0,0,0,0,0,0,0
agglomeration,הִצטַבְּרוּת,0,0,0,0,0,0,0,0,0,0
aggravated,מחמירות,0,1,1,0,0,0,0,0,0,0
aggravating,מַרגִיז,0,1,1,0,0,0,0,1,0,0
aggravation,הַחמָרָה,0,1,1,0,1,0,0,0,0,0
aggregate,לְקַבֵּץ,0,0,0,0,0,0,0,0,0,0
aggregation,#NAME?,0,0,0,0,0,0,0,0,0,0
aggression,תוֹקפָּנוּת,0,1,1,0,0,1,0,0,0,0
aggressive,תוֹקפָּנִי,0,1,1,0,0,1,0,0,0,0
aggressor,תוֹקפָּן,0,1,1,0,0,1,0,0,0,0
aghast,נדהם,0,1,0,0,1,1,0,0,1,0
agile,זָרִיז,1,0,0,0,0,0,0,0,0,0
agility,זְרִיזוּת,1,0,0,0,0,0,0,0,0,0
agitated,נִסעָר,0,1,1,0,0,0,0,0,0,0
agitation,תסיסה,0,1,1,0,0,0,0,0,0,0
agnostic,כּוֹפֵר,0,0,0,0,0,0,0,0,0,0
ago,לִפנֵי,0,0,0,0,0,0,0,0,0,0
agonizing,מתייסר,0,1,0,0,0,1,0,0,0,0
agony,יסורים,0,1,1,0,0,1,0,1,0,0
agree,לְהַסכִּים,1,0,0,0,0,0,0,0,0,0
agreeable,נָעִים,1,0,0,0,0,0,0,0,0,1
agreed,מוסכם,1,0,0,0,0,0,0,0,0,1
agreeing,מסכים,1,0,0,0,0,0,0,0,0,1
agreement,הֶסכֵּם,1,0,0,0,0,0,0,0,0,1
agricultural,חַקלָאִי,0,0,0,0,0,0,0,0,0,0
agriculture,חַקלָאוּת,1,0,0,0,0,0,0,0,0,0
aground,עַל שִׂרטוֹן,0,1,0,0,0,0,0,0,0,0
agua,NO TRANSLATION,0,0,0,0,0,0,0,0,0,0
ahead,קָדִימָה,1,0,0,0,0,0,0,0,0,0
aid,סיוע,1,0,0,0,0,0,0,0,0,0
aiding,סיוע,1,0,0,0,0,0,0,0,0,0
ail,אֶל,0,1,0,0,0,0,0,1,0,0
ailing,חוֹלָנִי,0,1,0,0,0,1,0,1,0,0
ailment,חוֹלִי,0,0,0,0,0,0,0,0,0,0
aim,מַטָרָה,0,0,0,0,0,0,0,0,0,0
aimless,חֲסַר תַכְלִית,0,1,0,0,0,0,0,0,0,0
air,אוויר,0,0,0,0,0,0,0,0,0,0
airbag,כרית אוויר,0,0,0,0,0,0,0,0,0,0
airlift,רַכֶּבֶת אֲוִירִית,0,0,0,0,0,0,0,0,0,0
airline,חֶברַת תְעוּפָה,0,0,0,0,0,0,0,0,0,0
airman,איירמן,0,0,0,0,0,0,0,0,0,0
airplane,מטוס,0,0,0,0,0,0,0,0,0,0
airport,נמל תעופה,0,0,0,1,0,0,0,0,0,0
airs,אוויר,0,1,0,0,1,0,0,0,0,0
airship,ספינת אוויר,0,0,0,0,0,0,0,0,0,0
aisle,מַעֲבָר,0,0,0,0,0,0,0,0,0,0
ait,NO TRANSLATION,0,0,0,0,0,0,0,0,0,0
ajar,NO TRANSLATION,0,0,0,0,0,0,0,0,0,0
akin,דומה,0,0,0,0,0,0,0,0,0,1
alabaster,בַּהַט,1,0,0,0,0,0,0,0,0,0
alarm,אזעקה,0,1,0,0,0,1,0,0,1,0
alarming,מדאיגה,0,1,0,0,0,1,0,0,1,0
alb,NO TRANSLATION,0,0,0,0,0,0,0,0,0,1
album,אַלבּוֹם,0,0,0,0,0,0,0,0,0,0
alchemy,אַלכִּימְיָה,0,0,0,0,0,0,0,0,0,0
alcohol,כּוֹהֶל,0,0,0,0,0,0,0,0,0,0
alcoholism,כָּהֳלִיוּת,0,1,1,0,1,1,0,1,0,0
alcove,גוּמחָה,0,0,0,0,0,0,0,0,0,0
alert,עֵרָנִי,0,0,0,0,0,0,0,0,0,0
alertness,עֵרָנוּת,1,0,0,1,0,1,0,0,1,0
alerts,התראות,0,0,0,1,0,1,0,0,1,0
alfalfa,אַספֶּסֶת,0,0,0,0,0,0,0,0,0,0
algebra,אַלגֶבּרָה,0,0,0,0,0,0,0,0,0,0
algebraic,אַלגֶבּרִי,0,0,0,0,0,0,0,0,0,0
algorithm,אַלגוֹרִיתְם,0,0,0,0,0,0,0,0,0,0
alibi,אַלִיבִּי,0,0,0,0,0,0,0,0,0,0
alien,חייזר,0,1,0,0,1,1,0,0,0,0
alienate,לְהַרְחִיק,0,1,1,0,1,0,0,0,0,0
alienated,מנוכר,0,1,0,0,0,0,0,1,0,0
alienation,הִתנַכְּרוּת,0,1,1,0,1,1,0,1,0,0
alight,מוּאָר,0,0,0,0,0,0,0,0,0,0
aligned,מיושר,0,0,0,0,0,0,0,0,0,0
alignment,יישור,0,0,0,0,0,0,0,0,0,0
alike,דוֹמֶה,0,0,0,0,0,0,0,0,0,0
alimentation,NO TRANSLATION,1,0,0,0,0,0,0,0,0,0
alimony,מְזוֹנוֹת,0,1,0,0,0,0,0,0,0,0
aliquot,aliquot,0,0,0,0,0,0,0,0,0,0
alive,בחיים,1,0,0,1,0,0,1,0,0,1
alkali,אַלקָלִי,0,0,0,0,0,0,0,0,0,0
alkaloids,אלקלואידים,0,0,0,0,0,0,0,0,0,0
allay,לְהַרְגִיעַ,1,0,0,0,0,0,0,0,0,0
allegation,טענה,0,1,1,0,0,0,0,0,0,0
allege,טענה,0,1,0,0,0,0,0,0,0,0
alleged,כִּביָכוֹל,0,0,0,0,0,0,0,0,0,0
allegiance,אֱמוּנִים,1,0,0,0,0,0,0,0,0,1
allegorical,אַלֵגוֹרִי,0,0,0,0,0,0,0,0,0,0
allegory,אַלֵגוֹרִיָה,0,0,0,0,0,0,0,0,0,0
allegro,מה Architect,1,0,0,0,0,0,0,0,0,0
alleviate,להקל,1,0,0,0,0,0,0,0,0,0
alleviation,הֲקָלָה,1,0,0,0,0,0,0,0,0,0
alley,סִמטָה,0,0,0,0,0,0,0,0,0,0
alliance,בְּרִית,0,0,0,0,0,0,0,0,0,1
allied,בעלות הברית,1,0,0,0,0,0,0,0,0,1
alligator,תַנִין,0,0,0,0,0,0,0,0,0,0
allocate,לְהַקְצוֹת,0,0,0,0,0,0,0,0,0,0
allocation,הַקצָאָה,0,0,0,0,0,0,0,0,0,0
allot,allot,0,0,0,0,0,0,0,0,0,0
allotment,הַקצָאָה,0,0,0,0,0,0,0,0,0,0
allowable,מותר,1,0,0,0,0,0,0,0,0,0
allowance,קצבה,0,0,0,0,0,0,0,0,0,0
allowed,מוּתָר,0,0,0,0,0,0,0,0,0,0
alloy,סַגסוֹגֶת,0,0,0,0,0,0,0,0,0,0
allure,קֶסֶם,1,0,0,1,0,0,1,0,1,0
alluring,מרתק,1,0,0,0,0,0,0,0,0,0
allusion,רֶמֶז,0,0,0,0,0,0,0,0,0,0
alluvial,סחף,0,0,0,0,0,0,0,0,0,0
ally,ברית,1,0,0,0,0,0,0,0,0,1
almanac,אַלְמָנָך,0,0,0,0,0,0,0,0,0,0
almighty,כל יכול,1,0,0,0,0,0,0,0,0,0
aloft,אֵל עַל,0,0,0,0,0,0,0,0,0,0
aloha,שלום,1,0,0,1,0,0,1,0,0,0
alongside,בַּצַד,0,0,0,0,0,0,0,0,0,0
aloof,מרוחק,0,1,0,0,0,0,0,0,0,0
aloud,בְּקוֹל רָם,0,0,0,0,0,0,0,0,0,0
alphabet,אלף בית,0,0,0,0,0,0,0,0,0,0
alphabetical,אָלֶף בֵּיתִי,0,0,0,0,0,0,0,0,0,0
altar,מִזבֵּחַ,0,0,0,0,0,0,0,0,0,0
alter,לשנות,0,0,0,0,0,0,0,0,0,0
alteration,שינוי,0,0,0,0,0,0,0,0,0,0
altercation,קְטָטָה,0,1,1,0,0,0,0,0,0,0
altered,השתנה,0,0,0,0,0,0,0,0,0,0
alternate,לְהַחלִיף,0,0,0,0,0,0,0,0,0,0
alternative,חֲלוּפָה,0,0,0,0,0,0,0,0,0,0
